date,home_team,away_team,home_elo,away_elo,actual_score,pred_away_win,pred_draw,pred_home_win,prediction,confidence,correct
2022-11-20,Qatar,Ecuador,1775.6,1920.8,0-2,0.2188,0.2248,0.5564,Home Win,0.5564,0
2022-11-21,United States,Wales,1887.3,1853.5,1-1,0.1678,0.2695,0.5627,Home Win,0.5627,0
2022-11-21,England,Iran,1987.2,1902.8,6-2,0.0052,0.0575,0.9373,Home Win,0.9373,1
2022-11-21,Senegal,Netherlands,1824.6,2132.0,0-2,0.7614,0.2236,0.0149,Away Win,0.7614,1
2022-11-22,Argentina,Saudi Arabia,2220.4,1758.7,1-2,0.0108,0.0237,0.9654,Home Win,0.9654,0
2022-11-22,Mexico,Poland,1889.3,1895.7,0-0,0.6212,0.2434,0.1354,Away Win,0.6212,0
2022-11-22,Denmark,Tunisia,2051.8,1844.5,0-0,0.0969,0.3031,0.6,Home Win,0.6,0
2022-11-22,France,Australia,2056.0,1850.6,4-1,0.0619,0.2145,0.7236,Home Win,0.7236,1
2022-11-23,Germany,Japan,2048.1,1904.4,1-2,0.5457,0.1932,0.2611,Away Win,0.5457,1
2022-11-23,Spain,Costa Rica,2133.7,1882.2,7-0,0.0327,0.1166,0.8506,Home Win,0.8506,1
2022-11-23,Morocco,Croatia,1880.9,2012.6,0-0,0.5527,0.3189,0.1285,Away Win,0.5527,0
2022-11-23,Belgium,Canada,2067.6,1896.5,1-0,0.2146,0.1343,0.6511,Home Win,0.6511,1
2022-11-24,Portugal,Ghana,2084.7,1697.9,3-2,0.008,0.1768,0.8152,Home Win,0.8152,1
2022-11-24,Uruguay,South Korea,2027.3,1897.1,0-0,0.09,0.3356,0.5744,Home Win,0.5744,0
2022-11-24,Switzerland,Cameroon,1975.5,1713.8,1-0,0.1883,0.3781,0.4336,Home Win,0.4336,1
2022-11-24,Brazil,Serbia,2268.5,1992.8,2-0,0.0478,0.0915,0.8607,Home Win,0.8607,1
2022-11-25,Qatar,Senegal,1733.8,1810.6,1-3,0.1139,0.4639,0.4221,Draw,0.4639,0
2022-11-25,Netherlands,Ecuador,2145.9,1962.6,1-1,0.0376,0.1897,0.7727,Home Win,0.7727,0
2022-11-25,Wales,Iran,1856.6,1857.1,0-2,0.0323,0.3489,0.6188,Home Win,0.6188,0
2022-11-25,England,United States,2032.9,1884.2,0-0,0.1889,0.2423,0.5688,Home Win,0.5688,0
2022-11-26,France,Denmark,2082.3,2034.7,2-1,0.2571,0.3658,0.3772,Home Win,0.3772,1
2022-11-26,Poland,Saudi Arabia,1895.1,1818.5,2-0,0.1684,0.068,0.7636,Home Win,0.7636,1
2022-11-26,Argentina,Mexico,2160.6,1889.9,2-0,0.2411,0.0828,0.6761,Home Win,0.6761,1
2022-11-26,Tunisia,Australia,1861.6,1824.3,0-1,0.0427,0.4358,0.5215,Home Win,0.5215,0
2022-11-27,Croatia,Canada,2001.1,1879.1,4-1,0.2183,0.3809,0.4007,Home Win,0.4007,1
2022-11-27,Belgium,Morocco,2085.0,1892.5,0-2,0.164,0.2603,0.5757,Home Win,0.5757,0
