date,home_team,away_team,home_elo,away_elo,actual_score,pred_away_win,pred_draw,pred_home_win,prediction,confidence,correct
2022-11-20,Qatar,Ecuador,1775.6,1920.8,0-2,0.3917,0.2844,0.3239,Away Win,0.3917,1
2022-11-21,United States,Wales,1887.3,1853.5,1-1,0.7916,0.1862,0.0222,Away Win,0.7916,0
2022-11-21,England,Iran,1987.2,1902.8,6-2,0.0009,0.0162,0.983,Home Win,0.983,1
2022-11-21,Senegal,Netherlands,1824.6,2132.0,0-2,0.9586,0.0396,0.0017,Away Win,0.9586,1
2022-11-22,Argentina,Saudi Arabia,2220.4,1758.7,1-2,0.0137,0.2396,0.7467,Home Win,0.7467,0
2022-11-22,Mexico,Poland,1889.3,1895.7,0-0,0.4227,0.5083,0.069,Draw,0.5083,1
2022-11-22,Denmark,Tunisia,2051.8,1844.5,0-0,0.1318,0.2872,0.5809,Home Win,0.5809,0
2022-11-22,France,Australia,2056.0,1850.6,4-1,0.0127,0.2169,0.7703,Home Win,0.7703,1
2022-11-23,Germany,Japan,2048.1,1904.4,1-2,0.495,0.2974,0.2076,Away Win,0.495,1
2022-11-23,Spain,Costa Rica,2133.7,1882.2,7-0,0.0194,0.0401,0.9405,Home Win,0.9405,1
2022-11-23,Morocco,Croatia,1880.9,2012.6,0-0,0.7273,0.2059,0.0669,Away Win,0.7273,0
2022-11-23,Belgium,Canada,2067.6,1896.5,1-0,0.0438,0.0864,0.8699,Home Win,0.8699,1
2022-11-24,Portugal,Ghana,2084.7,1697.9,3-2,0.0474,0.49,0.4626,Draw,0.49,0
2022-11-24,Uruguay,South Korea,2027.3,1897.1,0-0,0.0197,0.3476,0.6327,Home Win,0.6327,0
2022-11-24,Switzerland,Cameroon,1975.5,1713.8,1-0,0.0407,0.3658,0.5935,Home Win,0.5935,1
2022-11-24,Brazil,Serbia,2268.5,1992.8,2-0,0.3532,0.1437,0.5032,Home Win,0.5032,1
2022-11-25,Qatar,Senegal,1733.8,1810.6,1-3,0.0726,0.515,0.4124,Draw,0.515,0
2022-11-25,Netherlands,Ecuador,2145.9,1962.6,1-1,0.0182,0.0905,0.8913,Home Win,0.8913,0
2022-11-25,Wales,Iran,1856.6,1857.1,0-2,0.3117,0.1995,0.4888,Home Win,0.4888,0
2022-11-25,England,United States,2032.9,1884.2,0-0,0.2496,0.1679,0.5825,Home Win,0.5825,0
2022-11-26,France,Denmark,2082.3,2034.7,2-1,0.1158,0.2485,0.6357,Home Win,0.6357,1
2022-11-26,Poland,Saudi Arabia,1895.1,1818.5,2-0,0.4053,0.1759,0.4188,Home Win,0.4188,1
2022-11-26,Argentina,Mexico,2160.6,1889.9,2-0,0.068,0.1145,0.8175,Home Win,0.8175,1
2022-11-26,Tunisia,Australia,1861.6,1824.3,0-1,0.3339,0.4324,0.2336,Draw,0.4324,0
2022-11-27,Croatia,Canada,2001.1,1879.1,4-1,0.1508,0.4341,0.4151,Draw,0.4341,0
2022-11-27,Belgium,Morocco,2085.0,1892.5,0-2,0.0991,0.4818,0.4191,Draw,0.4818,0
2022-11-27,Spain,Germany,2161.1,2003.5,1-1,0.7651,0.0288,0.2061,Away Win,0.7651,0
2022-11-27,Japan,Costa Rica,1948.9,1854.8,0-1,0.2404,0.1681,0.5915,Home Win,0.5915,0
2022-11-28,Portugal,Uruguay,2090.9,2015.8,2-0,0.0909,0.1927,0.7164,Home Win,0.7164,1
2022-11-28,Cameroon,Serbia,1702.2,1976.5,3-3,0.9141,0.0744,0.0114,Away Win,0.9141,0
2022-11-28,Brazil,Switzerland,2284.8,1987.1,1-0,0.2891,0.2466,0.4643,Home Win,0.4643,1
2022-11-28,South Korea,Ghana,1908.6,1691.6,2-3,0.3174,0.4863,0.1962,Draw,0.4863,0
2022-11-29,Wales,England,1808.7,2020.0,0-3,0.8865,0.1059,0.0075,Away Win,0.8865,1
2022-11-29,Iran,United States,1905.0,1897.1,0-1,0.2898,0.3932,0.317,Draw,0.3932,0
2022-11-29,Ecuador,Senegal,1978.0,1861.8,1-2,0.6842,0.2339,0.0819,Away Win,0.6842,1
2022-11-29,Qatar,Netherlands,1682.6,2130.5,0-2,0.9183,0.0783,0.0035,Away Win,0.9183,1
2022-11-30,Australia,Denmark,1859.7,2007.1,1-0,0.7338,0.1797,0.0865,Away Win,0.7338,0
2022-11-30,Tunisia,France,1826.2,2109.9,1-0,0.8266,0.1573,0.016,Away Win,0.8266,0
2022-11-30,Poland,Argentina,1932.7,2177.3,0-2,0.7963,0.1916,0.0121,Away Win,0.7963,1
2022-11-30,Saudi Arabia,Mexico,1780.9,1873.2,1-2,0.6844,0.1842,0.1314,Away Win,0.6844,1
2022-12-01,Japan,Spain,1908.5,2147.5,2-1,0.925,0.0669,0.0081,Away Win,0.925,0
2022-12-01,Costa Rica,Germany,1895.2,2017.1,2-4,0.8691,0.1169,0.014,Away Win,0.8691,1
2022-12-01,Croatia,Belgium,2038.2,2012.8,0-0,0.8873,0.0816,0.0311,Away Win,0.8873,0
2022-12-01,Canada,Morocco,1842.0,1964.6,1-2,0.4992,0.3702,0.1306,Away Win,0.4992,1
