date,home_team,away_team,home_elo,away_elo,actual_score,pred_away_win,pred_draw,pred_home_win,prediction,confidence,correct
2022-11-20,Qatar,Ecuador,1775.6,1920.8,0-2,0.2106,0.2978,0.4916,Home Win,0.4916,0
2022-11-21,Senegal,Netherlands,1824.6,2132.0,0-2,0.7906,0.1455,0.0639,Away Win,0.7906,1
2022-11-21,England,Iran,1987.2,1902.8,6-2,0.0367,0.2238,0.7395,Home Win,0.7395,1
2022-11-21,United States,Wales,1887.3,1853.5,1-1,0.4978,0.1857,0.3166,Away Win,0.4978,0
2022-11-22,Argentina,Saudi Arabia,2220.4,1758.7,1-2,0.0129,0.0985,0.8886,Home Win,0.8886,0
2022-11-22,Mexico,Poland,1889.3,1895.7,0-0,0.5335,0.2723,0.1943,Away Win,0.5335,0
2022-11-22,Denmark,Tunisia,2051.8,1844.5,0-0,0.099,0.2274,0.6736,Home Win,0.6736,0
2022-11-22,France,Australia,2056.0,1850.6,4-1,0.0692,0.1932,0.7376,Home Win,0.7376,1
2022-11-23,Germany,Japan,2048.1,1904.4,1-2,0.2833,0.2023,0.5144,Home Win,0.5144,0
2022-11-23,Spain,Costa Rica,2133.7,1882.2,7-0,0.0886,0.2825,0.6288,Home Win,0.6288,1
2022-11-23,Morocco,Croatia,1880.9,2012.6,0-0,0.3466,0.3602,0.2931,Draw,0.3602,1
2022-11-23,Belgium,Canada,2067.6,1896.5,1-0,0.1053,0.1777,0.7171,Home Win,0.7171,1
2022-11-24,Brazil,Serbia,2268.5,1992.8,2-0,0.0907,0.2288,0.6805,Home Win,0.6805,1
2022-11-24,Switzerland,Cameroon,1975.5,1713.8,1-0,0.0458,0.2606,0.6936,Home Win,0.6936,1
2022-11-24,Portugal,Ghana,2084.7,1697.9,3-2,0.0118,0.1267,0.8615,Home Win,0.8615,1
2022-11-24,Uruguay,South Korea,2027.3,1897.1,0-0,0.0416,0.2876,0.6708,Home Win,0.6708,0
2022-11-25,Qatar,Senegal,1733.8,1810.6,1-3,0.3449,0.412,0.2431,Draw,0.412,0
2022-11-25,Netherlands,Ecuador,2145.9,1962.6,1-1,0.1808,0.1983,0.6209,Home Win,0.6209,0
2022-11-25,Wales,Iran,1856.6,1857.1,0-2,0.1688,0.2719,0.5593,Home Win,0.5593,0
2022-11-25,England,United States,2032.9,1884.2,0-0,0.1865,0.1671,0.6464,Home Win,0.6464,0
2022-11-26,Tunisia,Australia,1861.6,1824.3,0-1,0.0922,0.4369,0.4709,Home Win,0.4709,0
2022-11-26,France,Denmark,2082.3,2034.7,2-1,0.2968,0.2352,0.4681,Home Win,0.4681,1
2022-11-26,Poland,Saudi Arabia,1895.1,1818.5,2-0,0.0557,0.1581,0.7861,Home Win,0.7861,1
2022-11-26,Argentina,Mexico,2160.6,1889.9,2-0,0.1189,0.1556,0.7255,Home Win,0.7255,1
2022-11-27,Japan,Costa Rica,1948.9,1854.8,0-1,0.118,0.3586,0.5234,Home Win,0.5234,0
2022-11-27,Spain,Germany,2161.1,2003.5,1-1,0.4287,0.1645,0.4068,Away Win,0.4287,0
2022-11-27,Belgium,Morocco,2085.0,1892.5,0-2,0.1573,0.2576,0.585,Home Win,0.585,0
2022-11-27,Croatia,Canada,2001.1,1879.1,4-1,0.189,0.3005,0.5105,Home Win,0.5105,1
2022-11-28,South Korea,Ghana,1908.6,1691.6,2-3,0.2626,0.441,0.2965,Draw,0.441,0
2022-11-28,Portugal,Uruguay,2090.9,2015.8,2-0,0.0274,0.1368,0.8358,Home Win,0.8358,1
2022-11-28,Cameroon,Serbia,1702.2,1976.5,3-3,0.5946,0.2383,0.1671,Away Win,0.5946,0
2022-11-28,Brazil,Switzerland,2284.8,1987.1,1-0,0.1512,0.2233,0.6255,Home Win,0.6255,1
2022-11-29,Ecuador,Senegal,1978.0,1861.8,1-2,0.4818,0.3609,0.1573,Away Win,0.4818,1
2022-11-29,Qatar,Netherlands,1682.6,2130.5,0-2,0.8057,0.1448,0.0495,Away Win,0.8057,1
2022-11-29,Wales,England,1808.7,2020.0,0-3,0.5586,0.2524,0.1891,Away Win,0.5586,1
2022-11-29,Iran,United States,1905.0,1897.1,0-1,0.338,0.2066,0.4554,Home Win,0.4554,0
